smiles,auc,cl,vdss,t1_2,log_auc_value,log_cl_value,log_vdss_value,log_t1_2_value,k1,k2,k3
CC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1,1032.1584086021512,16.0,0.81,0.66,6.939407430969605,2.772588722239781,-0.2107210313156525,-0.4155154439616658,16514.53453763442,1266.73986510264,13.037037037037036
COc1ccc2nccc(CC[C@@H]3CC[C@@H](NCc4ccc5c(n4)NC(=O)CS5)CO3)c2n1,463.0,36.0,3.2,1.2,6.137727054086234,3.58351893845611,1.1631508098056809,0.1823215567939546,16668.0,1234.6666666666667,13.499999999999998
COc1cccc(CNC(=O)c2c[nH]c3cc(-c4cn[nH]c4)ccc23)c1,3463.9000000000005,4.9,0.26,1.1,8.15015040090535,1.589235205116581,-1.3470736479666092,0.0953101798043249,16973.110000000004,818.7400000000001,20.730769230769237
CC(=O)Nc1nc2c(Oc3cc(N4CCN([C@H](C)c5ccc(F)cc5)CC4)ncn3)cccc2s1,1200.0,13.33,2.6,2.7,7.090076835776092,2.5900171341906173,0.9555114450274363,0.9932517730102834,15996.0,1155.5555555555554,13.842692307692309
C[C@H](Nc1nc(N)nc(N)c1C#N)c1nc2cccc(F)c2c(=O)n1-c1cc(F)cc(F)c1,1451.094339622642,12.33,2.6,3.2,7.280073267740105,2.512035317176253,0.9555114450274363,1.1631508098056809,17891.993207547177,1179.0141509433963,15.175384615384615
CCCN(CCC)c1c(C)c(Nc2ccc(OC)cc2Cl)nc2ccnn12,96.0,186.0,14.42,1.7,4.564348191467836,5.225746673713202,2.668616131856803,0.5306282510621704,17856.0,814.3058823529411,21.92787794729542
Cc1ccc(CN2CCOCC2)cc1NC(=O)c1ccc(Nc2ncc(C)c(-c3ccccc3)n2)cc1,710.0,23.3,2.1,1.0,6.565264970035361,3.1484533605716547,0.7419373447293773,0.0,16543.0,1491.0,11.095238095238097
O=C(Nc1nc(-c2ccccc2)cs1)[C@@H]1CCCN1C(=O)[C@H](NC(=O)N1CCCC1)c1ccccc1,311.4,55.1,1.1,0.5,5.741078259399898,4.009149716158869,0.0953101798043249,-0.6931471805599453,17158.14,685.08,25.045454545454543
O=C(N[C@@H](Cc1ccc(N2CCN(c3ccccc3)CC2)cc1)C(=O)O)c1c(Cl)cncc1Cl,721.0,23.17,6.23,7.91,6.580639137284949,3.142858338444285,1.8293763327993615,2.0681277817795625,16705.57,567.8672566371681,29.41808988764045
O=C(Nc1cnc(-c2ccncc2F)c(-c2cccnc2)n1)C1CC1,920.0,18.3,1.2,0.8,6.824373670043086,2.9069010598473755,0.1823215567939546,-0.2231435513142097,16836.0,1380.0,12.2
CN(C)C(=O)c1ccc(-c2ccc3c(n2)Oc2ccccc2[C@H]3C(C)(C)C(=O)Nc2nncs2)cc1F,342.0,49.5,1.0,0.6,5.834810737062605,3.901972669574645,0.0,-0.5108256237659907,16929.0,570.0,29.7
C[C@H]1Cc2c(nnn2-c2ncc(F)cn2)CN1C(=O)c1ccnc(C(F)(F)F)c1F,4333.08642,3.7,1.7,5.6,8.374035366152143,1.308332819650179,0.5306282510621704,1.7227665977411035,16032.419754,1315.4012346428572,12.188235294117646
CNCCN(C)Cc1c[nH]nc1-c1ccc(O[C@H]2C[C@H](OCCC3CCOCC3)C2)cc1,846.0,19.7,11.1,8.54,6.740519359606223,2.9806186357439426,2.4069451083182885,2.1447610078004784,16666.2,1099.6018735363,15.156576576576574
Cc1cccc(C)c1-n1c(Cn2nc(-c3ccc4[nH]ccc4c3)c3c(N)ncnc32)nc2cccc(F)c2c1=O,473.0,36.0,1.11,0.84,6.159095388491933,3.58351893845611,0.1043600153242428,-0.1743533871447778,17028.0,625.0357142857144,27.24324324324324
O=[N+]([O-])c1cn2c(n1)OC[C@H](Oc1ccc(C(F)(F)F)cn1)C2,2470.0,6.1,1.5,2.7,7.8119734296220225,1.8082887711792657,0.4054651081081644,0.9932517730102834,15067.0,1372.2222222222222,10.98
CCCCCCCCCCC(C)(C)C(=O)N[C@H]1CCCCNC1=O,395.0,40.0,2.0,0.7667,5.978885764901122,3.688879454113936,0.6931471805599453,-0.2656596884172882,15800.0,1030.3899830442151,15.334
O=C(O)C[C@H]1CCc2c1[nH]c1ccc(OCc3ccc(C4CCCC4)c(C(F)(F)F)c3)cc21,7018.518519,2.417,1.61,9.64,8.85630743756889,0.8825271017213459,0.4762341789963717,2.265921108622454,16963.759260422998,1172.179960123444,14.471975155279502
CSCC(O/N=C(\C(=O)N[C@@H]1C(=O)N(OS(=O)(=O)O)C1(C)C)c1csc(N)n1)c1cc(=O)c(O)cn1O,661.0,26.1,0.37,0.25,6.493753839851686,3.261935314328648,-0.9942522733438668,-1.3862943611198906,17252.100000000002,978.28,17.635135135135137
O[C@@H]1[C@@H](O)[C@H](n2cc(Cc3ccc(C4CC4)cc3)c3c(Cl)cccc32)OC[C@H]1O,14787.0,1.2,0.32,3.6,9.601503695373488,0.1823215567939546,-1.1394342831883648,1.2809338454620642,17744.399999999998,1314.4,13.5
Cc1ccc(NC(=O)C2CCN(c3ncccc3Cl)CC2)cc1Cl,52.09146800000002,320.0,21.4,2.0,3.9530011733527006,5.768320995793772,3.0633909220278057,0.6931471805599453,16669.269760000006,557.3787076000002,29.90654205607477
C[C@@H](O)C[C@H]1OC[C@@H](C2CCCCC2)N(c2cc(C#CC(C)(C)C)sc2C(=O)O)C1=O,1234.4725260000005,14.0,3.0,5.2,7.118399053373551,2.6390573296152584,1.0986122886681098,1.6486586255873816,17282.615364000005,712.1956880769234,24.266666666666666
O=C(Nc1cnc(-c2ccncc2F)c(-c2ccncc2)n1)C1CC1,680.0,24.5,1.3,1.2,6.522092798170152,3.1986731175506815,0.262364264467491,0.1823215567939546,16660.0,736.6666666666667,22.615384615384613
c1coc(-c2nc3[nH]ncc3cc2-c2ccncn2)c1,736.0,23.33,0.8,0.6,6.601230118728877,3.1497400860333387,-0.2231435513142097,-0.5108256237659907,17170.879999999997,981.3333333333336,17.4975
CN(C)CCn1cc(-c2ccn3c(-c4ccc(C(N)=O)c(OCc5cccc(C(F)(F)F)c5)c4)cnc3c2)cn1,268.0,62.8,5.08,1.49,5.5909869805108565,4.139955073474153,1.6253112615903906,0.3987761199573678,16830.399999999998,913.7181208053692,18.41968503937008
C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NC3CCS(=O)(=O)CC3)nc2CC2CC2)c2ccccc12)C(F)(F)F,792.0,21.6,3.4,3.8,6.674561391814426,3.0726933146901194,1.2237754316221157,1.33500106673234,17107.2,708.6315789473684,24.141176470588235
O=C(NOCCO)c1ccc2[nH]ncc2c1Nc1ccc(I)cc1F,460.7771500000001,36.0,2.4,1.4,6.132914520478561,3.58351893845611,0.8754687373538999,0.3364722366212129,16587.977400000003,789.903685714286,21.0
C[C@H](Cc1ccccc1)n1c(-c2ccccc2O)nc2ccnc(C(F)(F)F)c2c1=O,518.0,32.2,1.4,0.6,6.249975242259483,3.471966452550362,0.3364722366212129,-0.5108256237659907,16679.600000000002,1208.6666666666663,13.8
NC(=O)[C@@H](CCC(F)(F)F)N(CC12CC(c3ncon3)(C1)C2)S(=O)(=O)c1ccc(Cl)cc1,1251.9837800000005,13.3,2.12,2.18,7.132484596304558,2.5877640352277083,0.7514160886839212,0.7793248768009977,16651.384274000007,1217.5255108256883,13.676415094339625
O=C(O)C1CN(Cc2ccc(OCc3ccc(Cl)c(Cl)c3)cc2)C1,6400.0,2.667,1.3,9.0,8.764053269347762,0.9809542451998772,0.262364264467491,2.1972245773362196,17068.8,924.4444444444443,18.463846153846152
COc1ccc(C)c2sc(NC(=O)c3ccncc3)nc12,1445.0,11.5,0.97,0.95,7.275864600546533,2.4423470353692043,-0.0304592074847085,-0.0512932943875505,16617.5,1475.421052631579,11.262886597938143
Fc1ccc(-c2nn3cc(C(F)(F)F)ccc3c2-c2ccncc2)cc1,500.0,34.0,5.4,2.5,6.214608098422191,3.5263605246161616,1.6863989535702288,0.9162907318741552,17000.0,1080.0,15.74074074074074
Cc1c2c(=O)n(-c3ccccc3)[nH]c2cc(=O)n1Cc1cccnc1,196.0,85.17,2.36,0.7,5.278114659230517,4.44464925915299,0.8586616190375187,-0.3566749439387324,16693.32,660.8000000000001,25.26228813559322
CC1(C)[C@H](NC(=O)/C(=N\OC(CS(C)(=O)=O)c2cc(=O)c(O)cn2O)c2csc(N)n2)C(=O)N1OS(=O)(=O)O,1890.0,9.3,0.21,0.33,7.544332108053688,2.2300144001592104,-1.5606477482646683,-1.1086626245216111,17577.0,1202.7272727272723,14.614285714285716
O=C(Nc1cnc(-c2ccncc2)c(-c2ccccn2)n1)C1CC1,1310.0,12.8,0.74,1.0,7.177782416195197,2.549445170925571,-0.3011050927839216,0.0,16768.0,969.4,17.2972972972973
CCN(C(=O)CN(c1cc(N(C)C)ccc1Cl)S(=O)(=O)c1ccc(OC)c(OC)c1)c1cnc(C)cn1,1290.0,13.0,1.5,1.5,7.162397497355718,2.5649493574615367,0.4054651081081644,0.4054651081081644,16770.0,1290.0,13.0
Cc1cc(-n2cc3c(n2)CN(C(=O)c2cc(C#N)ccc2OC(C)C)C3)ccn1,1176.0,14.6,1.83,2.6,7.069874128458572,2.681021528714291,0.6043159668533296,0.9555114450274363,17169.6,827.7230769230769,20.743169398907103
Cc1ccc2c(N)noc2c1-c1ccc2c(c1)NC(=O)C21CCOCC1,1230.0,13.8,2.0,1.9,7.114769448366463,2.624668592163159,0.6931471805599453,0.6418538861723947,16974.0,1294.7368421052631,13.11
Nc1cccnc1N1CCC(C(=O)Nc2ccc(-n3nccn3)c(Cl)c2)CC1,64.05707000000002,259.0,4.1,0.3,4.159774404764703,5.556828061699537,1.410986973710262,-1.203972804325936,16590.781130000007,875.4466233333337,18.951219512195124
COc1cccc([C@@H](C)NC(=O)c2c[nH]c3cc(-c4cn[nH]c4)ccc23)c1,2919.3777,5.8,0.37,1.1,7.979125756111436,1.7578579175523736,-0.9942522733438668,0.0953101798043249,16932.39066,981.972499090909,17.243243243243242
Cc1nnc(-c2ccc(C)c(-c3ccc4c(c3)NC(=O)C43CCOCC3)c2)[nH]1,4063.0,4.2,1.0,3.1,8.309676895987726,1.4350845252893227,0.0,1.1314021114911006,17064.600000000002,1310.6451612903224,13.02
CCN(C)C(=O)c1ccc(-c2ccc3c(n2)Oc2ccccc2[C@@H]3C(C)(C)C(=O)Nc2nncs2)cc1F,526.0,34.0,0.5,0.4,6.26530121273771,3.5263605246161616,-0.6931471805599453,-0.916290731874155,17884.0,657.5,27.200000000000003
CC(C)[C@]1(C(=O)NCc2cc(F)cc(C(F)(F)F)c2)CC[C@@H](N2CC[C@]3(C=Cc4ccccc43)[C@@H](C)C2)C1,865.3738580000003,19.4,2.99,2.5,6.763161619338212,2.9652730660692823,1.095273387402595,0.9162907318741552,16788.252845200004,1034.9871341680005,16.220735785953178
O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(F)cc3)nc1)CC2,4360.0,3.9,0.94,3.0,8.38022733634308,1.3609765531356006,-0.0618754037180875,1.0986122886681098,17004.0,1366.1333333333332,12.4468085106383
O=C(CCCCCCn1cc(-c2ncnc3[nH]ccc23)cn1)NO,175.2,95.1,1.49,0.35,5.165928178502291,4.554928969551344,0.3987761199573678,-1.0498221244986778,16661.519999999997,745.8514285714286,22.33892617449664
O=C(Nc1ccc(-c2ccncc2)c(-c2ccccn2)n1)C1CC1,485.0,35.0,1.0,0.5,6.184148890937483,3.5553480614894135,0.0,-0.6931471805599453,16975.0,970.0,17.5
CN(C)CCn1cc(-c2ccn3c(-c4ccc(C(N)=O)c(OCc5cccc(F)c5)c4)cnc3c2)cn1,507.0,33.3,2.53,1.72,6.2285110035911835,3.505557396986398,0.9282193027394288,0.5423242908253617,16883.1,745.7616279069766,22.638735177865613
CC1CCN([C@H](c2ccc(F)cc2)c2ccc([C@@H](C)C(=O)O)cc2-c2ccc(C(F)(F)F)cc2)CC1.Cl,10400.0,1.5,0.8,7.2,9.249561085129464,0.4054651081081644,-0.2231435513142097,1.9740810260220096,15600.0,1155.5555555555554,13.5
CCOc1ccc(Cc2cc([C@@H]3O[C@H](CNOC)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,1067.0,16.5,1.8,3.0,6.9726062513017535,2.803360380906535,0.5877866649021191,1.0986122886681098,17605.5,640.2,27.5
CC(C)(C)n1nnnc1C(c1cccc(Nc2ccnc3cc(Cl)ccc23)c1)N1CCCC1,63.5,278.33,12.2,0.85,4.151039905898646,5.628807460063128,2.501435951739211,-0.1625189294977749,17673.954999999998,911.4117647058824,19.39184426229508
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(C34CCC(c5cnc([C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]5)(CC3)CC4)cc2)[nH]1)C(C)C,1050.0,15.67,1.31,1.2,6.956545443151569,2.7517480563679295,0.2700271372130602,0.1823215567939546,16453.5,1146.25,14.35419847328244
N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,560.0,30.33,4.56,2.37,6.327936783729195,3.41213732170049,1.5173226235262949,0.8628899551470398,16984.8,1077.4683544303796,15.763618421052632
Cc1nc2c(C#N)cccc2n1-c1ccc(C(=O)NC2CC2)s1,703.0,24.0,0.995,0.85,6.555356891810665,3.1780538303479458,-0.0050125418235442,-0.1625189294977749,16872.0,822.9235294117648,20.50251256281407
CN1CCN(c2ccc3nc(Nc4ccc(Br)cn4)[nH]c3c2)CC1,1161.8550000000002,15.2,10.6,8.9,7.057773144771879,2.7212954278522306,2.3608540011180215,2.186051276738094,17660.196000000004,1383.782359550562,12.762264150943397
COc1cccc(CNC(=O)c2c[nH]c3nc(-c4cn[nH]c4)ccc23)c1,2223.2192000000005,7.6,0.52,1.0,7.706711514591074,2.028148247292285,-0.6539264674066639,0.0,16896.465920000002,1156.0739840000003,14.615384615384617
C[C@@H]1CN(c2ncc(CO)cc2Cl)CCN1c1nc(-c2cc(F)c(F)c(F)c2)c(-c2ccc(C(F)(F)F)cc2)[nH]1,1233.0,13.33,5.4,6.3,7.117205503164344,2.5900171341906173,1.6863989535702288,1.840549633397487,16435.89,1056.857142857143,15.551666666666666
Nc1noc2ccc(-c3cc(Cl)ccc3Oc3cc(F)c(S(=O)(=O)Nc4ncns4)cc3F)cc12,96.46938000000004,177.0,1.4,0.13,4.569225652293354,5.176149732573829,0.3364722366212129,-2.0402208285265546,17075.080260000006,1038.9010153846157,16.435714285714287
