Unnamed: 0,smiles,value,log_value,init_value
1701,Cl.N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(Br)c1=O,3.2,1.1631508098056809,0.635287142338013
906,Cc1cc(NC(=O)c2ccc(CN3CCCC3)cc2)nn1Cc1cc(Cl)ccc1OCC(C)C.Cl,4.6,1.5260563034950492,0.6799420118083989
2029,Cc1c(Sc2ccc(Cl)cc2)c2c(NS(C)(=O)=O)cccc2n1CC(=O)O,1.1,0.0953101798043249,0.5038912699219813
428,CCc1nccn1CC(=O)c1ccc(-c2ccc(N3C[C@H](Cn4ccnn4)OC3=O)cc2F)cn1,0.9,-0.1053605156578262,0.4791991011115964
333,O=C(O)COc1ccc(SCC=C(c2ccc(Br)cc2)c2ccc(Br)cc2)cc1Cl,0.3,-1.203972804325936,0.3440168313413065
2391,COc1ccc(Nc2ncc(CN3CCN(S(C)(=O)=O)CC3)cc2-c2nc(C)nc(N)n2)cn1,2.6,0.9555114450274363,0.609737491279209
3692,CC(C)(C)c1ccc(CCC(O)(CC(=O)O)C(=O)O)cc1,0.45,-0.7985076962177716,0.3939085849581971
4253,Cn1c(=O)n(Cc2ccccc2C#N)c2c(N3CCC[C@@H](N)C3)cc(C(F)(F)F)nc21,12.2,2.501435951739211,0.7999607264153914
3298,C[C@H]1O[C@@H](n2cc(-c3ccccc3)c3c(NCC(=O)NC4CC4)ncnc32)[C@H](O)[C@@H]1O,3.3,1.1939224684724346,0.639073539692271
1972,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(-c2ccc3c(C(=O)O)csc3c2)cc1,0.73,-0.3147107448397002,0.4534389312594588
311,C[C@H](NC1=NC(=O)[C@@](C)(C(F)(F)F)S1)c1ccccc1F,1.201,0.1831545430978465,0.5147003611173298
3864,CN[C@H]1CCN(c2ccc(-n3ncc4cc(-c5ccc(Cl)cc5)ccc4c3=O)cn2)C1,14.0,2.6390573296152584,0.8168947898899163
349,COc1cc(Nc2ncc(-c3ccccc3N(C)C(=O)CN3CCOCC3)o2)ccc1-c1cnco1,2.1,0.7419373447293773,0.5834575816693855
3489,Cc1cc(C#N)cc(-c2cc(-n3cccn3)ncn2)c1,2.5,0.9162907318741552,0.6049114529390609
553,C/C(=C\S(=O)(=O)N[C@H]1CCN([C@@H](C)C(=O)N2CCOCC2)C1=O)c1ccc(Cl)s1,0.4,-0.916290731874155,0.3794155938778152
2314,COc1cc(OC)c2nnc3c(C)nc(-c4cnccc4C)n3c2c1,0.5,-0.6931471805599453,0.4068730072550388
3240,COc1cccc(CNC(=O)c2nc3scc(NC(=O)Cc4ccccc4)c3c(=O)[nH]2)c1,0.315,-1.155182640156504,0.3500203734488547
