Unnamed: 0,smiles,value,log_value,init_value
3521,Cc1cccc(C)c1-c1nnc(NC(=O)c2ccc3c(c2)OCCO3)s1,29.0,3.367295829986474,0.432160274484376
2527,O=c1cc(-c2ccc(OCCCN3CCCCC3)cc2)cnn1-c1ccccn1,11.0,2.3978952727983707,0.3663211167653308
2192,CCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CCC(C(=O)NCC)CC3)cc(-c3ccccc3)n2)CC1,16.0,2.772588722239781,0.3917693186785047
7642,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1nccc(-c2c[nH]c3cnccc23)n1,137.0,4.919980925828125,0.5376145969057041
21,COc1cc(OC)cc(C(=O)Nc2ccc(C)c(C(=O)Nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc3)c2)c1,4.833,1.575467392862947,0.3104639599913829
3697,C=Cn1ncc2c1nc(N)n1c(=O)n(Cc3ccccc3)nc21,24.4,3.194583132299156,0.4204300784794333
1061,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C2(C)CC2)n1,8.0,2.079441541679836,0.3446925698516083
3472,CCOc1cc2ncc(C(N)=O)c(Nc3cc(F)ccc3F)c2cc1N1CCN(C)CC1,28.0,3.332204510175204,0.429776963558369
6802,CNS(=O)(=O)c1cccc(Nc2cc(Nc3cccc(Br)c3)ncn2)c1,53.0,3.970291913552122,0.473114195910833
7515,CN1CCN(c2ccc(C3CC(c4ccc([N+](=O)[O-])o4)=NO3)cc2)C(=O)C1,193.5,5.2652775124698366,0.5610662405623729
7755,CCC1(CC)C(C)=Nc2c(F)cc(-c3nc(Nc4ccc(N5CCNCC5)cn4)ncc3F)cc21,125.0,4.8283137373023015,0.5313888005222984
5623,Cn1cnc2ncn(Cc3nc(CCc4ccc(Cl)cc4)no3)c(=O)c21,41.67,3.7297814454343614,0.4567793521498407
1944,CCCc1[nH]cnc1CNc1cc(Cl)c2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1,100.0,4.605170185988092,0.5162334724589647
791,COC(=O)c1c(Cl)cccc1-c1cnc([C@@H](C)NC(=O)C2(NC(=O)C(F)(F)F)CC2)c(F)c1,19.6,2.975529566236472,0.4055525315480034
445,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,6.667,1.897169983635923,0.3323131609800486
3050,O=C(c1n[nH]c2ncccc12)N1CCc2nc(COc3ccccc3)oc2C1,12.8,2.549445170925571,0.376613990615171
919,CC(=O)Nc1cc(-c2c(Nc3ccn(C)n3)nc3ccc(-c4cnn(C(C)C)c4)cn23)nc(C)n1,8.333,2.12022353540007,0.3474623765086542
1349,COc1cc(C(=O)N2[C@@H](c3nccs3)[C@@H](C(N)=O)C[C@@]2(CC(C)C)C(=O)O)ccc1C(C)(C)C,37.0,3.610917912644224,0.4487064509900632
5056,Cc1cccnc1CN1CCC2(CC1)C(=O)N(c1ccc(-c3ccccc3)cc1)C(=O)N2c1cc(O)ccn1,35.0,3.555348061489413,0.4449322916217026
6507,CC[C@@H](CS(C)(=O)=O)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,75.0,4.31748811353631,0.4966948563516713
818,Cc1ccc2c(OCCN3CCC(Cc4cc5c(cc4F)OCC(=O)N5)CC3)cc(F)cc2n1,19.0,2.9444389791664403,0.4034409399561653
1282,CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)NCc2ccccc2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1,32.0,3.4657359027997265,0.438846067505401
7815,C[C@@H](c1nnc(-c2ccccc2)o1)N1CC(C)(C)[C@@H](Oc2ccc(C#N)c(C(F)(F)F)c2)C1=O,4294.0,8.364973978438726,0.7715895407511643
7644,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,128.33,4.85460507125637,0.5331744393585984
1534,CCS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,1.6,0.4700036292457356,0.2353837441344819
7923,O=S(=O)(Nc1nccs1)c1cc(Cl)c(NCC23CCCN2CCC3)cc1F,210.0,5.3471075307174685,0.5666239219950985
1728,COc1ccccc1/N=C1\SCC2(CCCCC2)CN1C(=S)SC,75.9,4.329416684401584,0.4975050137760075
1006,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(-c2ccc(OC)nc2)cc1)[C@@H](O)C[C@@H](Cc1ccccc1F)C(=O)N[C@H]1c2cc(Cl)ccc2OC[C@H]1O)C(C)(C)C,7.833,2.0583455783851017,0.3432597870413467
1909,CNC(=O)[C@@H](NC(=O)c1ccc(-c2ccc(CSc3nc4c(c(=O)[nH]3)CCC4)c(F)c2)o1)C1CC1,0.23,-1.4696759700589417,0.1036457642910737
7556,CC1=C(C(=O)N2CCN(c3ccc(F)cc3)CC2)[C@@H](c2ccc(Cl)c(Cl)c2)n2nccc2N1,134.0,4.897839799950911,0.5361108293785474
3178,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](OC)(c2ccc(-c3ccccc3)cc2)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,17.8,2.87919845729804,0.3990099738533338
483,Cc1ccc2c(N3CCN(CCc4cccc(-n5cccn5)c4)CC3)cccc2n1,0.5,6.214608098422191,0.6255422981760911
3585,N[C@H](CNc1nnc(-c2ccc3cnccc3c2)s1)Cc1ccc(C(F)(F)F)cc1,25.0,3.218875824868201,0.4220799748051719
5977,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC.COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC.O=C(O)/C=C/C(=O)O,55.0,4.007333185232471,0.4756299424824572
6391,CCC(CC)Nc1cc(C(=O)NC2CC3CCC(C2)N3c2ccc(C(C)=O)cn2)c(C)cc1C(N)=O,51.83,3.947969132201615,0.4715980908176743
5060,COc1ccc(OCC(=O)N2CCC3(CC2)CN(Cc2ccc(-n4cccn4)cc2)C3)cc1,32.0,10.373491181781864,0.9080027911374694
6643,CN(Cc1ccc2[nH]cnc2c1Cl)c1nccc(Nc2cc(C3CC3)[nH]n2)n1,67.0,4.204692619390966,0.4890340805516509
